N,Average Train Error,Average Test Error,Generalization Error
3750,1.2446e-02,1.2215e-02,7.2390e-03
5400,9.8665e-03,9.9703e-03,5.2175e-03
9600,1.4563e-02,1.4617e-02,4.6211e-03
21600,8.0781e-03,8.1950e-03,5.0316e-03
38400,3.0482e-02,3.1257e-02,1.7675e-02
