N,Average Train Error,Average Test Error,Generalization Error
3750,7.5972e-03,1.1194e-02,4.6584e-03
5400,6.5653e-03,7.8306e-03,3.5701e-03
9600,8.9133e-03,1.0034e-02,4.1249e-03
21600,5.5522e-03,6.3783e-03,3.6781e-03
38400,1.2981e-02,1.7151e-02,1.7457e-02
